user_id,movie_id,rating
154,287,4.0
204,107,1.0
204,184,5.0
204,66,5.0
204,154,4.5
204,70,5.0
204,280,3.5
204,329,3.5
204,123,3.5
204,298,5.0
204,340,5.0
204,425,5.0
204,153,4.0
204,37,4.5
204,426,4.5
203,130,4.0
203,182,4.5
203,438,5.0
203,330,4.0
203,336,4.5
203,81,4.5
203,176,4.5
203,203,4.5
202,320,3.0
202,314,3.0
202,188,1.0
202,200,4.0
202,251,5.0
202,29,3.5
201,264,1.5
201,56,4.0
201,300,5.0
201,453,2.0
201,471,4.5
201,460,3.5
200,377,3.5
200,353,3.0
200,279,5.0
200,34,4.0
200,180,4.0
200,479,3.5
200,487,5.0
200,469,5.0
200,365,3.0
200,483,4.5
200,258,5.0
200,461,5.0
200,420,4.0
200,200,4.0
200,452,5.0
200,47,4.5
199,348,4.5
199,253,4.0
199,301,4.5
199,345,5.0
199,147,4.5
198,445,3.0
198,386,4.5
198,479,4.0
198,106,4.5
198,364,4.5
198,143,4.0
198,46,4.5
198,443,5.0
198,326,1.5
197,270,4.5
197,393,1.5
197,219,5.0
197,121,5.0
197,111,5.0
197,402,3.5
197,326,4.5
197,440,3.0
197,495,4.0
197,412,5.0
197,22,5.0
197,492,5.0
197,20,3.5
197,102,4.5
197,333,4.0
197,208,4.0
197,465,5.0
197,284,2.5
197,468,4.5
197,426,5.0
196,481,5.0
196,12,4.5
196,393,5.0
196,405,4.5
196,7,3.5
196,241,5.0
196,309,4.0
196,422,4.5
196,185,5.0
196,419,4.0
196,5,3.0
196,129,4.5
196,38,4.5
196,486,4.0
196,26,5.0
195,32,4.0
195,184,5.0
195,497,1.0
195,148,5.0
195,276,4.0
195,144,3.5
195,77,2.5
195,284,4.5
195,360,5.0
195,396,5.0
195,390,3.0
195,412,4.0
194,188,4.0
194,154,5.0
194,470,5.0
194,132,4.5
194,403,5.0
194,15,4.0
194,20,3.5
194,167,5.0
193,451,3.5
193,452,5.0
193,387,5.0
193,205,4.0
193,428,3.0
193,220,5.0
192,161,5.0
192,96,3.5
192,482,4.5
192,237,2.0
192,296,3.0
192,40,5.0
192,156,4.5
192,443,4.5
192,233,5.0
192,470,3.5
192,274,4.5
192,373,4.5
192,138,4.0
192,36,4.0
191,130,3.0
191,235,4.5
191,21,5.0
191,231,5.0
191,438,3.5
191,20,5.0
191,458,3.5
191,350,5.0
191,336,5.0
191,409,4.0
190,27,4.0
190,435,4.5
190,72,5.0
190,207,4.0
190,29,5.0
190,351,5.0
190,421,5.0
190,178,5.0
189,270,5.0
189,353,4.5
189,411,4.5
189,499,4.5
189,276,3.5
189,235,3.5
189,222,4.0
189,345,5.0
188,112,1.0
188,17,4.5
188,297,4.5
188,478,4.5
188,201,3.5
188,121,5.0
188,409,4.5
188,163,4.5
188,299,5.0
188,317,3.5
188,89,2.5
188,10,4.5
188,270,5.0
187,315,4.5
187,63,4.5
187,358,3.5
187,96,3.5
187,444,4.5
187,264,3.5
187,316,4.5
187,25,2.5
187,285,5.0
187,99,3.0
187,294,4.5
187,198,5.0
187,168,4.0
187,191,4.5
186,105,3.0
186,278,2.5
186,107,5.0
186,79,3.0
186,224,4.0
186,142,1.5
185,75,4.0
185,76,5.0
185,99,4.5
185,43,5.0
185,191,4.0
185,125,4.5
185,42,3.5
185,331,4.0
185,473,4.5
185,242,5.0
185,428,1.0
185,160,5.0
185,461,4.0
185,206,4.0
185,423,5.0
185,68,5.0
185,155,5.0
185,264,3.0
184,186,4.5
184,81,4.0
184,64,5.0
184,297,5.0
184,236,4.5
184,278,5.0
184,41,4.5
184,243,3.5
184,306,4.5
184,468,4.0
184,35,4.0
184,360,4.0
184,249,5.0
184,103,3.5
183,255,3.0
183,5,2.5
183,401,3.5
183,148,4.5
183,132,4.0
183,214,3.5
183,152,4.5
183,457,3.5
183,291,4.0
182,151,5.0
182,432,5.0
182,41,4.0
182,96,4.5
182,134,5.0
182,426,5.0
182,246,4.0
182,402,4.5
182,117,3.0
182,253,3.0
182,416,5.0
182,244,5.0
182,450,5.0
182,167,4.0
182,154,3.5
182,179,4.5
182,91,5.0
182,308,5.0
182,395,4.0
182,237,4.5
181,315,3.5
181,154,3.0
181,457,4.5
181,79,4.5
181,67,5.0
181,20,4.0
181,345,5.0
181,104,4.0
181,120,3.5
181,85,4.0
181,243,4.5
181,324,5.0
181,13,4.0
181,6,3.0
180,487,3.5
180,468,4.0
180,90,4.5
180,322,3.5
180,485,5.0
180,253,4.0
179,486,3.0
179,349,4.0
179,263,4.5
179,4,5.0
179,443,3.0
